epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
161,1.092758e-05,0.8723,1.0301,0.7593,0.6860,0.7295,0.8625,98.0,0
162,1.045366e-05,0.8152,1.1696,0.7384,0.6627,0.7102,0.8423,96.5,0
163,9.990128e-06,0.8313,1.0291,0.7807,0.7160,0.7539,0.8722,94.6,1
164,9.537112e-06,0.9130,1.0265,0.7607,0.6970,0.7098,0.8752,101.3,0
165,9.094728e-06,0.8376,1.1262,0.7533,0.6797,0.7149,0.8653,98.1,0
166,8.663091e-06,0.8686,1.0757,0.7652,0.7087,0.7301,0.8569,95.3,0
167,8.242312e-06,0.8667,1.1366,0.7469,0.6888,0.7316,0.8203,96.2,0
168,7.832501e-06,0.8384,1.0355,0.7693,0.6995,0.7393,0.8691,101.2,0
169,7.433765e-06,0.8342,1.0343,0.7657,0.7063,0.7468,0.8439,94.9,0
170,7.046207e-06,0.8716,1.0049,0.7686,0.7062,0.7357,0.8640,98.4,0
171,6.669927e-06,0.8605,1.0828,0.7664,0.6950,0.7345,0.8696,96.2,0
172,6.305023e-06,0.8283,1.0295,0.7529,0.6719,0.7172,0.8696,96.7,0
173,5.951590e-06,0.8464,0.9928,0.7712,0.7026,0.7518,0.8593,96.5,0
174,5.609719e-06,0.8381,1.0813,0.7487,0.6773,0.6997,0.8692,99.2,0
175,5.279500e-06,0.8412,1.0334,0.7712,0.6955,0.7476,0.8706,96.5,0
176,4.961018e-06,0.8211,1.0179,0.7642,0.6994,0.7361,0.8571,96.6,0
177,4.654355e-06,0.8330,1.1149,0.7386,0.6594,0.7112,0.8452,97.7,0
178,4.359591e-06,0.8339,1.0610,0.7479,0.6565,0.7221,0.8651,100.3,0
179,4.076804e-06,0.8424,0.9989,0.7727,0.7107,0.7404,0.8671,95.4,0
180,3.806065e-06,0.8529,1.0306,0.7668,0.7010,0.7294,0.8701,95.4,0
181,3.547446e-06,0.8490,1.0935,0.7533,0.6981,0.7218,0.8399,96.4,0
182,3.301014e-06,0.8755,1.0148,0.7720,0.7077,0.7461,0.8623,100.1,0
183,3.066831e-06,0.8399,1.0814,0.7523,0.6752,0.7101,0.8715,94.7,0
184,2.844961e-06,0.8861,1.0022,0.7787,0.7024,0.7680,0.8657,95.5,0
185,2.635459e-06,0.8210,1.0183,0.7736,0.7060,0.7469,0.8678,99.9,0
186,2.438380e-06,0.8141,0.9936,0.7762,0.7096,0.7508,0.8684,97.0,0
187,2.253776e-06,0.8677,1.0674,0.7457,0.6597,0.7067,0.8706,94.3,0
188,2.081694e-06,0.8516,1.0678,0.7529,0.6746,0.7200,0.8641,97.8,0
189,1.922179e-06,0.8892,1.0615,0.7637,0.6921,0.7306,0.8684,99.1,0
190,1.775272e-06,0.8725,1.0741,0.7586,0.6836,0.7406,0.8515,95.8,0
191,1.641012e-06,0.8451,1.0662,0.7594,0.6957,0.7412,0.8411,96.0,0
192,1.519433e-06,0.8273,1.0506,0.7525,0.6759,0.7132,0.8684,101.0,0
193,1.410567e-06,0.8138,0.9810,0.7618,0.6782,0.7406,0.8667,99.1,0
194,1.314443e-06,0.8344,1.1046,0.7506,0.6869,0.7199,0.8451,94.7,0
195,1.231084e-06,0.7894,1.0668,0.7639,0.6994,0.7378,0.8545,97.1,0
196,1.160513e-06,0.7861,0.9957,0.7668,0.7001,0.7389,0.8613,97.7,0
197,1.102748e-06,0.8660,1.0982,0.7597,0.6914,0.7369,0.8508,96.6,0
198,1.057805e-06,0.7875,1.0627,0.7680,0.6992,0.7570,0.8478,96.3,0
199,1.025694e-06,0.8193,1.0566,0.7631,0.6965,0.7310,0.8618,97.6,0
200,1.006424e-06,0.8516,1.0417,0.7541,0.6695,0.7201,0.8726,95.1,0
