mode,tau_et,et_vmin,tc_vmin,dice_ET,dice_TC,dice_WT,n_cases,dice_mean
mc_dropout,0.45,1000,0,0.7751830954444546,0.8011233016072397,0.9251671059418698,251,0.8338245009978547
mc_dropout,0.55,500,500,0.7782806529120567,0.7967861848832111,0.9251432364050772,251,0.8334033580667817
mc_dropout,0.45,2000,0,0.7731112114665358,0.8011233016072397,0.9251671059418698,251,0.8331338730052152
mc_dropout,0.5,2000,0,0.7727749355951945,0.801232121811468,0.9251846345307977,251,0.8330638973124866
mc_dropout,0.55,2000,0,0.7732749308298861,0.8007380814784082,0.9251432364050772,251,0.8330520829044571
mc_dropout,0.45,1000,250,0.7742662361965138,0.7994882378022096,0.9251671059418698,251,0.8329738599801978
mc_dropout,0.5,500,500,0.7760921206083878,0.7972350684899695,0.9251846345307977,251,0.8328372745430516
mc_dropout,0.45,1500,500,0.7755480249999487,0.7971473472120121,0.9251671059418698,251,0.832620826051277
mc_dropout,0.55,1500,500,0.7757274148117385,0.7967861848832111,0.9251432364050772,251,0.8325522787000089
mc_dropout,0.5,1500,500,0.7752170363152656,0.7972350684899695,0.9251846345307977,251,0.8325455797786776
mc_dropout,0.45,750,0,0.7711990317035378,0.8011233016072397,0.9251671059418698,251,0.8324964797508825
mc_dropout,0.45,2000,250,0.7727586873101661,0.7994882378022096,0.9251671059418698,251,0.8324713436847485
mc_dropout,0.55,750,0,0.7714782464165247,0.8007380814784082,0.9251432364050772,251,0.8324531881000033
mc_dropout,0.5,1000,0,0.770830330472929,0.801232121811468,0.9251846345307977,251,0.8324156956050649
mc_dropout,0.5,2000,250,0.7724236168095762,0.7995761838232294,0.9251846345307977,251,0.8323948117212011
mc_dropout,0.55,2000,250,0.7728506004541826,0.7990929703240766,0.9251432364050772,251,0.8323622690611122
mc_dropout,0.45,750,250,0.7702821724556054,0.7994882378022096,0.9251671059418698,251,0.8316458387332283
mc_dropout,0.55,750,250,0.7704688511073351,0.7990929703240766,0.9251432364050772,251,0.8315683526121629
mc_dropout,0.5,1000,250,0.7699205500249333,0.7995761838232294,0.9251846345307977,251,0.83156045612632
mc_dropout,0.45,1000,500,0.772221771213419,0.7971473472120121,0.9251671059418698,251,0.8315120747891003
mc_dropout,0.45,2000,500,0.7712541202991118,0.7971473472120121,0.9251671059418698,251,0.8311895244843311
mc_dropout,0.5,2000,500,0.7709251127306787,0.7972350684899695,0.9251846345307977,251,0.8311149385838151
mc_dropout,0.55,2000,500,0.7714143163183306,0.7967861848832111,0.9251432364050772,251,0.8311145792022062
mc_dropout,0.5,750,0,0.7668462667329331,0.801232121811468,0.9251846345307977,251,0.8310876743583995
mc_dropout,0.5,750,250,0.7659364862874734,0.7995761838232294,0.9251846345307977,251,0.8302324348805001
mc_dropout,0.45,750,500,0.7682377074725105,0.7971473472120121,0.9251671059418698,251,0.8301840535421308
mc_dropout,0.55,750,500,0.7684990826034134,0.7967861848832111,0.9251432364050772,251,0.8301428346305673
mc_dropout,0.5,1000,500,0.7678794560993684,0.7972350684899695,0.9251846345307977,251,0.8300997197067118
mc_dropout,0.5,750,500,0.7638953923619083,0.7972350684899695,0.9251846345307977,251,0.8287716984608918
mc_dropout,0.55,1000,1000,0.7766643078611891,0.7821576119723039,0.9251432364050772,251,0.8279883854128567
mc_dropout,0.45,1500,1000,0.7746015509768786,0.7824746200789399,0.9251671059418698,251,0.8274144256658961
mc_dropout,0.55,1500,1000,0.7747507131640248,0.7821576119723039,0.9251432364050772,251,0.827350520513802
mc_dropout,0.5,1500,1000,0.774270875599583,0.7825590404261851,0.9251846345307977,251,0.8273381835188554
mc_dropout,0.45,2000,1000,0.7703076462760416,0.7824746200789399,0.9251671059418698,251,0.8259831240989505
mc_dropout,0.55,2000,1000,0.770437614670617,0.7821576119723039,0.9251432364050772,251,0.8259128210159994
mc_dropout,0.5,2000,1000,0.7699789520149961,0.7825590404261851,0.9251846345307977,251,0.8259075423239931
mc_dropout,0.45,1500,1500,0.7723026937043047,0.7789904386915819,0.9251671059418698,251,0.8254867461125853
mc_dropout,0.5,1500,1500,0.7719670309551949,0.7790767769359631,0.9251846345307977,251,0.8254094808073186
mc_dropout,0.45,1000,1000,0.7684732715712701,0.7824746200789399,0.9251671059418698,251,0.8253716658640267
mc_dropout,0.55,750,1000,0.768696180380142,0.7821576119723039,0.9251432364050772,251,0.8253323429191743
mc_dropout,0.55,1500,1500,0.7707683849306292,0.7785150167631902,0.9251432364050772,251,0.8248088793662989
mc_dropout,0.55,1000,1500,0.7690649793949258,0.7785150167631902,0.9251432364050772,251,0.8242410775210645
mc_dropout,0.45,750,1000,0.7644892078303617,0.7824746200789399,0.9251671059418698,251,0.8240436446170571
mc_dropout,0.55,500,1000,0.7647121166445184,0.7821576119723039,0.9251432364050772,251,0.8240043216739665
mc_dropout,0.5,1000,1000,0.7641402123995685,0.7825590404261851,0.9251846345307977,251,0.823961295785517
mc_dropout,0.45,2000,1500,0.7668424399090921,0.7789904386915819,0.9251671059418698,251,0.8236666615141811
mc_dropout,0.5,2000,1500,0.7665132330050094,0.7790767769359631,0.9251846345307977,251,0.8235915481572568
mc_dropout,0.45,1000,1500,0.7665532925845029,0.7789904386915819,0.9251671059418698,251,0.8235702790726517
mc_dropout,0.45,500,1000,0.7629651936024922,0.7824746200789399,0.9251671059418698,251,0.823535639874434
