epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
253,7.542649e-06,0.7723,1.0314,0.7688,0.7080,0.7305,0.8679,189.5,0
254,7.278735e-06,0.8234,1.0422,0.7624,0.7052,0.7092,0.8729,189.6,0
255,7.019893e-06,0.8164,1.0984,0.7548,0.6979,0.7122,0.8542,189.4,0
256,6.766154e-06,0.7837,1.0417,0.7717,0.7179,0.7199,0.8773,189.6,0
257,6.517547e-06,0.7859,0.9913,0.7685,0.7060,0.7196,0.8798,189.4,0
258,6.274101e-06,0.8039,1.0927,0.7564,0.6938,0.7110,0.8646,189.5,0
259,6.035846e-06,0.7752,1.0911,0.7597,0.7004,0.7075,0.8711,189.2,0
260,5.802809e-06,0.7983,1.0743,0.7699,0.7193,0.7141,0.8761,189.4,0
261,5.575017e-06,0.8755,1.0400,0.7677,0.7083,0.7249,0.8699,189.4,0
262,5.352497e-06,0.7646,1.0324,0.7725,0.7180,0.7309,0.8686,189.3,0
263,5.135275e-06,0.8918,1.0463,0.7628,0.7016,0.7039,0.8831,189.5,0
264,4.923378e-06,0.8537,1.1011,0.7561,0.6968,0.6949,0.8765,189.7,0
265,4.716829e-06,0.7866,1.0377,0.7752,0.7244,0.7285,0.8727,189.4,0
266,4.515652e-06,0.8052,0.9876,0.7722,0.7050,0.7302,0.8814,189.3,0
267,4.319873e-06,0.7557,1.0901,0.7625,0.7116,0.7190,0.8569,189.5,0
268,4.129512e-06,0.8051,1.0371,0.7596,0.7008,0.7135,0.8647,189.6,0
269,3.944594e-06,0.7887,1.0857,0.7681,0.7167,0.7241,0.8637,189.5,0
270,3.765139e-06,0.7708,1.0755,0.7568,0.6963,0.6981,0.8761,189.3,0
271,3.591168e-06,0.8442,1.1572,0.7320,0.6650,0.6721,0.8588,189.5,0
272,3.422702e-06,0.8191,1.0394,0.7817,0.7331,0.7338,0.8781,189.2,0
273,3.259762e-06,0.7467,1.0427,0.7509,0.6874,0.7021,0.8632,189.4,0
274,3.102365e-06,0.7969,1.0848,0.7764,0.7333,0.7233,0.8726,189.5,0
275,2.950530e-06,0.7652,1.1779,0.7481,0.7041,0.6981,0.8419,189.6,0
276,2.804275e-06,0.7722,1.0788,0.7406,0.6739,0.6887,0.8591,189.2,0
277,2.663618e-06,0.7657,1.0693,0.7570,0.6961,0.7032,0.8716,189.1,0
278,2.528575e-06,0.7843,1.0103,0.7663,0.7021,0.7296,0.8671,189.4,0
279,2.399161e-06,0.8327,1.0638,0.7639,0.7106,0.7073,0.8738,189.2,0
280,2.275392e-06,0.7623,1.0854,0.7707,0.7194,0.7182,0.8744,189.3,0
281,2.157282e-06,0.7893,1.0357,0.7734,0.7135,0.7240,0.8825,189.4,0
282,2.044846e-06,0.7442,1.0606,0.7604,0.7115,0.6947,0.8749,189.2,0
283,1.938096e-06,0.8029,1.0544,0.7666,0.7161,0.7102,0.8736,189.0,0
284,1.837045e-06,0.8171,1.0042,0.7655,0.7096,0.7108,0.8760,189.5,0
285,1.741705e-06,0.8011,1.0786,0.7594,0.7012,0.7138,0.8631,190.1,0
286,1.652087e-06,0.8301,1.1160,0.7521,0.7002,0.7027,0.8533,189.3,0
287,1.568202e-06,0.7819,1.0551,0.7566,0.7117,0.7054,0.8527,189.7,0
288,1.490058e-06,0.8277,1.0338,0.7582,0.7006,0.7012,0.8728,189.4,0
289,1.417667e-06,0.8229,0.9919,0.7748,0.7247,0.7154,0.8842,189.3,0
290,1.351035e-06,0.7709,1.0570,0.7770,0.7153,0.7300,0.8857,190.2,0
291,1.290171e-06,0.7953,1.0827,0.7658,0.7189,0.7153,0.8631,189.5,0
292,1.235082e-06,0.8044,1.1277,0.7592,0.7060,0.7033,0.8682,189.1,0
293,1.185775e-06,0.7462,1.0896,0.7615,0.7100,0.7016,0.8729,828.3,0
294,1.142255e-06,0.7949,1.0723,0.7672,0.7260,0.7172,0.8583,189.4,0
295,1.104527e-06,0.7437,1.0207,0.7733,0.7203,0.7231,0.8764,547.2,0
296,1.072596e-06,0.8167,1.0539,0.7702,0.7223,0.7107,0.8776,189.9,0
297,1.046466e-06,0.8033,1.0173,0.7770,0.7263,0.7274,0.8774,189.6,0
298,1.026139e-06,0.8149,1.1066,0.7499,0.6867,0.6855,0.8774,189.4,0
